hotel_name,class_rating,rating
Amazing Apartment- Walking Distance to Times SQ,Very Good,8.3
Splendid Apartment by Times SQ,Very Good,8.2
Times Square Lux Highrise,Good,7.8
citizenM New York Times Square,Awesome,9.2
Beautiful apartment next to Central Park,Good,7.6
Spacious Apartment in Prime Location,Good,7.7
Midtown East Spacious Apartment,Good,7.2
LUMA Hotel - Times Square,Awesome,9.2
Heart of Midtown,Exceptional,9.5
Nice Apartment in the Heart of Upper East Side,Very Good,8.5
John Street Apartment,,
East Village Apartments,Awesome,9.4
Sanctuary NYC Retreats,Excellent,8.7
Blakely New York Hotel,Excellent,8.6
Broadway at Times Square Hotel,Very Good,8.4
Four Points by Sheraton Manhattan Midtown West,Very Good,8.5
The Allen Hotel,Excellent,8.7
1 Hotel Central Park,Awesome,9.0
Midtown West 2 Bedroom Apartment,Excellent,8.6
La Quinta Inn & Suites New York City Central Park,Good,7.6
Tribeca Lofts,Very Good,8.1
Fairfield Inn & Suites by Marriott New York Downtown Manhattan/World Trade Center Area,Excellent,8.9
The Hotel at Times Square,Very Good,8.0
Sunny & Luxurious West Village Residence - 3 Bedrooms!,,
Chalsea Studio,Awesome,9.3
6th Ave Apartment,Good,7.5
The NoMad Hotel,Awesome,9.0
Cambria hotel & suites New York - Times Square,Excellent,8.8
Hyatt Union Square New York,Excellent,8.7
Four Points by Sheraton Midtown - Times Square,Very Good,8.3
The Hotel @ New York City,Good,7.5
Luxury Two Bedroom Apartment - Midtown West J,,
Candlewood Suites NYC -Times Square,Very Good,8.1
2 Bedroom Apartment in Manhattan,,
MOXY NYC Times Square,Very Good,8.5
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,Very Good,8.3
Home In The Heart Of East Village,Good,7.1
Sohotel,Very Good,8.2
Holiday Inn Express - Times Square South,Very Good,8.3
Jun New York Mid Town II,Awesome,9.4
Radisson Martinique on Broadway,Very Good,8.2
Courtyard by Marriott New York Manhattan/Central Park,Very Good,8.0
Residence Inn by Marriott New York Manhattan/Times Square,Very Good,8.2
Four Points by Sheraton Manhattan Chelsea,Very Good,8.2
EVEN Hotel New York - Midtown East 44th,Excellent,8.7
HGU New York,Excellent,8.7
Ace Hotel New York,Very Good,8.4
Aloft Manhattan Downtown - Financial District,Very Good,8.2
Apartments Upper West Side,,
Solita Soho Hotel,Good,7.7
Hilton Garden Inn New York Times Square South,Excellent,8.7
Walker Hotel Greenwich Village,Very Good,8.5
Manhattan NYC,,
Wingate by Wyndham Manhattan Midtown,Good,7.6
Staybridge Suites - Times Square - New York City,Very Good,8.2
Hampton Inn Manhattan Grand Central,Excellent,8.7
Luxury Two Bedroom Apartment - Midtown West G,Excellent,8.6
Gramercy Townhouse,Exceptional,9.5
Global Luxury Suites at Ritz Plaza,,
AKA United Nations,Awesome,9.3
World Center Hotel,Excellent,8.6
InterContinental New York Times Square,Very Good,8.0
Fairfield Inn by Marriott New York Manhattan/Financial District,Very Good,8.3
Four Points by Sheraton New York Downtown,Very Good,8.1
Global Luxury Suites at The Pearl,,
Radio City Apartments,Very Good,8.5
Hamilton Heights Lovely Apartments,Good,7.6
La Quinta Inn & Suites Manhattan,Very Good,8.0
DoubleTree by Hilton Metropolitan New York City,Good,7.8
Fairfield Inn & Suites by Marriott New York Manhattan/Chelsea,Very Good,8.2
Hotel Boutique at Grand Central,Excellent,8.6
Loews Regency New York Hotel,Excellent,8.8
Central Park N Residence,Awesome,9.4
"The Beekman, a Thompson Hotel",Awesome,9.3
Gansevoort Meatpacking,Very Good,8.3
Holiday Inn Express - Times Square,Good,7.7
Leon Hotel,Very Good,8.4
Executive Hotel Le Soleil New York,Excellent,8.6
Hilton Times Square,Very Good,8.5
InterContinental New York Barclay Hotel,Excellent,8.9
Washington Jefferson at Times Square,Good,7.6
